"voivodeship","sex","age","count","year","month"
"WOJ. KUJAWSKO-POMORSKIE","M",14,15,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",15,17,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",16,31,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",17,22,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",18,367,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",19,103,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",20,23,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",21,22,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",22,16,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",23,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",24,16,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",25,19,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",26,12,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",27,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",28,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",29,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",30,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",31,8,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",32,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",33,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",34,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",35,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",36,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",37,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",38,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",39,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",40,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",41,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",42,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",43,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",44,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",45,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",47,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",48,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",51,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",52,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",54,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",59,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",65,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",67,1,2019,8
"WOJ. LUBELSKIE","K",14,3,2019,8
"WOJ. LUBELSKIE","K",15,2,2019,8
"WOJ. LUBELSKIE","K",16,10,2019,8
"WOJ. LUBELSKIE","K",17,2,2019,8
"WOJ. LUBELSKIE","K",18,502,2019,8
"WOJ. LUBELSKIE","K",19,138,2019,8
"WOJ. LUBELSKIE","K",20,30,2019,8
"WOJ. LUBELSKIE","K",21,13,2019,8
"WOJ. LUBELSKIE","K",22,16,2019,8
"WOJ. LUBELSKIE","K",23,28,2019,8
"WOJ. LUBELSKIE","K",24,26,2019,8
"WOJ. LUBELSKIE","K",25,18,2019,8
"WOJ. LUBELSKIE","K",26,12,2019,8
"WOJ. LUBELSKIE","K",27,13,2019,8
"WOJ. LUBELSKIE","K",28,13,2019,8
"WOJ. LUBELSKIE","K",29,6,2019,8
"WOJ. LUBELSKIE","K",30,9,2019,8
"WOJ. LUBELSKIE","K",31,16,2019,8
"WOJ. LUBELSKIE","K",32,13,2019,8
"WOJ. LUBELSKIE","K",33,6,2019,8
"WOJ. LUBELSKIE","K",34,14,2019,8
"WOJ. LUBELSKIE","K",35,16,2019,8
"WOJ. LUBELSKIE","K",36,11,2019,8
"WOJ. LUBELSKIE","K",37,10,2019,8
"WOJ. LUBELSKIE","K",38,6,2019,8
"WOJ. LUBELSKIE","K",39,6,2019,8
"WOJ. LUBELSKIE","K",40,5,2019,8
"WOJ. LUBELSKIE","K",41,10,2019,8
"WOJ. LUBELSKIE","K",42,5,2019,8
"WOJ. LUBELSKIE","K",43,3,2019,8
"WOJ. LUBELSKIE","K",44,5,2019,8
"WOJ. LUBELSKIE","K",45,2,2019,8
"WOJ. LUBELSKIE","K",46,4,2019,8
"WOJ. LUBELSKIE","K",47,1,2019,8
"WOJ. LUBELSKIE","K",48,5,2019,8
"WOJ. LUBELSKIE","K",49,1,2019,8
"WOJ. LUBELSKIE","K",50,1,2019,8
"WOJ. LUBELSKIE","K",52,6,2019,8
"WOJ. LUBELSKIE","K",53,2,2019,8
"WOJ. LUBELSKIE","K",54,2,2019,8
"WOJ. LUBELSKIE","K",55,2,2019,8
"WOJ. LUBELSKIE","K",56,1,2019,8
"WOJ. LUBELSKIE","K",57,6,2019,8
"WOJ. LUBELSKIE","K",58,1,2019,8
"WOJ. LUBELSKIE","K",60,1,2019,8
"WOJ. LUBELSKIE","K",64,1,2019,8
"WOJ. LUBELSKIE","K",67,1,2019,8
"WOJ. LUBELSKIE","M",14,28,2019,8
"WOJ. LUBELSKIE","M",15,22,2019,8
"WOJ. LUBELSKIE","M",16,44,2019,8
"WOJ. LUBELSKIE","M",17,21,2019,8
"WOJ. LUBELSKIE","M",18,512,2019,8
"WOJ. LUBELSKIE","M",19,93,2019,8
"WOJ. LUBELSKIE","M",20,40,2019,8
"WOJ. LUBELSKIE","M",21,24,2019,8
"WOJ. LUBELSKIE","M",22,17,2019,8
"WOJ. LUBELSKIE","M",23,17,2019,8
"WOJ. LUBELSKIE","M",24,9,2019,8
"WOJ. LUBELSKIE","M",25,8,2019,8
"WOJ. LUBELSKIE","M",26,13,2019,8
"WOJ. LUBELSKIE","M",27,6,2019,8
"WOJ. LUBELSKIE","M",28,12,2019,8
"WOJ. LUBELSKIE","M",29,8,2019,8
"WOJ. LUBELSKIE","M",30,6,2019,8
"WOJ. LUBELSKIE","M",31,13,2019,8
"WOJ. LUBELSKIE","M",32,9,2019,8
"WOJ. LUBELSKIE","M",33,6,2019,8
"WOJ. LUBELSKIE","M",34,6,2019,8
"WOJ. LUBELSKIE","M",35,5,2019,8
"WOJ. LUBELSKIE","M",36,2,2019,8
"WOJ. LUBELSKIE","M",37,3,2019,8
"WOJ. LUBELSKIE","M",38,5,2019,8
"WOJ. LUBELSKIE","M",39,4,2019,8
"WOJ. LUBELSKIE","M",40,1,2019,8
"WOJ. LUBELSKIE","M",41,1,2019,8
"WOJ. LUBELSKIE","M",42,1,2019,8
"WOJ. LUBELSKIE","M",43,4,2019,8
"WOJ. LUBELSKIE","M",44,1,2019,8
"WOJ. LUBELSKIE","M",46,1,2019,8
"WOJ. LUBELSKIE","M",47,2,2019,8
"WOJ. LUBELSKIE","M",48,1,2019,8
"WOJ. LUBELSKIE","M",50,1,2019,8
"WOJ. LUBELSKIE","M",52,1,2019,8
"WOJ. LUBELSKIE","M",54,1,2019,8
"WOJ. LUBELSKIE","M",56,2,2019,8
"WOJ. LUBELSKIE","M",59,1,2019,8
"WOJ. LUBUSKIE","K",14,1,2019,8
"WOJ. LUBUSKIE","K",15,3,2019,8
"WOJ. LUBUSKIE","K",16,1,2019,8
"WOJ. LUBUSKIE","K",17,2,2019,8
"WOJ. LUBUSKIE","K",18,191,2019,8
"WOJ. LUBUSKIE","K",19,51,2019,8
"WOJ. LUBUSKIE","K",20,18,2019,8
"WOJ. LUBUSKIE","K",21,15,2019,8
"WOJ. LUBUSKIE","K",22,17,2019,8
"WOJ. LUBUSKIE","K",23,10,2019,8
"WOJ. LUBUSKIE","K",24,7,2019,8
"WOJ. LUBUSKIE","K",25,17,2019,8
"WOJ. LUBUSKIE","K",26,13,2019,8
"WOJ. LUBUSKIE","K",27,8,2019,8
"WOJ. LUBUSKIE","K",28,12,2019,8
"WOJ. LUBUSKIE","K",29,15,2019,8
"WOJ. LUBUSKIE","K",30,10,2019,8
"WOJ. LUBUSKIE","K",31,8,2019,8
"WOJ. LUBUSKIE","K",32,4,2019,8
"WOJ. LUBUSKIE","K",33,6,2019,8
"WOJ. LUBUSKIE","K",34,7,2019,8
"WOJ. LUBUSKIE","K",35,4,2019,8
"WOJ. LUBUSKIE","K",36,3,2019,8
"WOJ. LUBUSKIE","K",37,12,2019,8
"WOJ. LUBUSKIE","K",38,4,2019,8
"WOJ. LUBUSKIE","K",39,3,2019,8
"WOJ. LUBUSKIE","K",40,1,2019,8
"WOJ. LUBUSKIE","K",41,4,2019,8
"WOJ. LUBUSKIE","K",42,1,2019,8
"WOJ. LUBUSKIE","K",44,1,2019,8
"WOJ. LUBUSKIE","K",45,1,2019,8
"WOJ. LUBUSKIE","K",46,2,2019,8
"WOJ. LUBUSKIE","K",47,4,2019,8
"WOJ. LUBUSKIE","K",48,2,2019,8
"WOJ. LUBUSKIE","K",49,4,2019,8
"WOJ. LUBUSKIE","K",50,1,2019,8
"WOJ. LUBUSKIE","K",51,1,2019,8
"WOJ. LUBUSKIE","K",52,2,2019,8
"WOJ. LUBUSKIE","K",55,1,2019,8
"WOJ. LUBUSKIE","K",56,2,2019,8
"WOJ. LUBUSKIE","K",59,1,2019,8
"WOJ. LUBUSKIE","K",64,1,2019,8
"WOJ. LUBUSKIE","M",14,3,2019,8
"WOJ. LUBUSKIE","M",15,9,2019,8
"WOJ. LUBUSKIE","M",16,10,2019,8
"WOJ. LUBUSKIE","M",17,9,2019,8
"WOJ. LUBUSKIE","M",18,169,2019,8
"WOJ. LUBUSKIE","M",19,48,2019,8
"WOJ. LUBUSKIE","M",20,19,2019,8
"WOJ. LUBUSKIE","M",21,12,2019,8
"WOJ. LUBUSKIE","M",22,4,2019,8
"WOJ. LUBUSKIE","M",23,6,2019,8
"WOJ. LUBUSKIE","M",24,9,2019,8
"WOJ. LUBUSKIE","M",25,5,2019,8
"WOJ. LUBUSKIE","M",26,9,2019,8
"WOJ. LUBUSKIE","M",27,8,2019,8
"WOJ. LUBUSKIE","M",28,4,2019,8
"WOJ. LUBUSKIE","M",29,4,2019,8
"WOJ. LUBUSKIE","M",30,5,2019,8
"WOJ. LUBUSKIE","M",31,1,2019,8
"WOJ. LUBUSKIE","M",32,4,2019,8
"WOJ. LUBUSKIE","M",33,8,2019,8
"WOJ. LUBUSKIE","M",34,2,2019,8
"WOJ. LUBUSKIE","M",35,4,2019,8
"WOJ. LUBUSKIE","M",36,1,2019,8
"WOJ. LUBUSKIE","M",37,2,2019,8
"WOJ. LUBUSKIE","M",39,4,2019,8
"WOJ. LUBUSKIE","M",40,1,2019,8
"WOJ. LUBUSKIE","M",41,3,2019,8
"WOJ. LUBUSKIE","M",42,2,2019,8
"WOJ. LUBUSKIE","M",43,3,2019,8
"WOJ. LUBUSKIE","M",45,2,2019,8
"WOJ. LUBUSKIE","M",47,1,2019,8
"WOJ. LUBUSKIE","M",49,1,2019,8
"WOJ. LUBUSKIE","M",50,3,2019,8
"WOJ. LUBUSKIE","M",51,1,2019,8
"WOJ. LUBUSKIE","M",55,1,2019,8
"WOJ. LUBUSKIE","M",56,1,2019,8
"WOJ. LUBUSKIE","M",60,1,2019,8
"WOJ. LUBUSKIE","M",61,1,2019,8
"WOJ. ŁÓDZKIE","K",14,2,2019,8
"WOJ. ŁÓDZKIE","K",15,4,2019,8
"WOJ. ŁÓDZKIE","K",16,1,2019,8
"WOJ. ŁÓDZKIE","K",17,2,2019,8
"WOJ. ŁÓDZKIE","K",18,429,2019,8
"WOJ. ŁÓDZKIE","K",19,109,2019,8
"WOJ. ŁÓDZKIE","K",20,25,2019,8
"WOJ. ŁÓDZKIE","K",21,21,2019,8
"WOJ. ŁÓDZKIE","K",22,22,2019,8
"WOJ. ŁÓDZKIE","K",23,17,2019,8
"WOJ. ŁÓDZKIE","K",24,21,2019,8
"WOJ. ŁÓDZKIE","K",25,10,2019,8
"WOJ. ŁÓDZKIE","K",26,15,2019,8
"WOJ. ŁÓDZKIE","K",27,9,2019,8
"WOJ. ŁÓDZKIE","K",28,12,2019,8
"WOJ. ŁÓDZKIE","K",29,10,2019,8
"WOJ. ŁÓDZKIE","K",30,7,2019,8
"WOJ. ŁÓDZKIE","K",31,10,2019,8
"WOJ. ŁÓDZKIE","K",32,11,2019,8
"WOJ. ŁÓDZKIE","K",33,14,2019,8
"WOJ. ŁÓDZKIE","K",34,12,2019,8
"WOJ. ŁÓDZKIE","K",35,8,2019,8
"WOJ. ŁÓDZKIE","K",36,11,2019,8
"WOJ. ŁÓDZKIE","K",37,8,2019,8
"WOJ. ŁÓDZKIE","K",38,9,2019,8
"WOJ. ŁÓDZKIE","K",39,6,2019,8
"WOJ. ŁÓDZKIE","K",40,5,2019,8
"WOJ. ŁÓDZKIE","K",41,7,2019,8
"WOJ. ŁÓDZKIE","K",42,3,2019,8
"WOJ. ŁÓDZKIE","K",43,4,2019,8
"WOJ. ŁÓDZKIE","K",44,3,2019,8
"WOJ. ŁÓDZKIE","K",45,6,2019,8
"WOJ. ŁÓDZKIE","K",46,5,2019,8
"WOJ. ŁÓDZKIE","K",47,2,2019,8
"WOJ. ŁÓDZKIE","K",48,3,2019,8
"WOJ. ŁÓDZKIE","K",49,3,2019,8
"WOJ. ŁÓDZKIE","K",50,2,2019,8
"WOJ. ŁÓDZKIE","K",52,3,2019,8
"WOJ. ŁÓDZKIE","K",53,2,2019,8
"WOJ. ŁÓDZKIE","K",55,2,2019,8
"WOJ. ŁÓDZKIE","K",56,2,2019,8
"WOJ. ŁÓDZKIE","K",57,1,2019,8
"WOJ. ŁÓDZKIE","K",59,1,2019,8
"WOJ. ŁÓDZKIE","K",64,1,2019,8
"WOJ. ŁÓDZKIE","K",65,2,2019,8
"WOJ. ŁÓDZKIE","K",70,1,2019,8
"WOJ. ŁÓDZKIE","M",14,28,2019,8
"WOJ. ŁÓDZKIE","M",15,33,2019,8
"WOJ. ŁÓDZKIE","M",16,32,2019,8
"WOJ. ŁÓDZKIE","M",17,24,2019,8
"WOJ. ŁÓDZKIE","M",18,454,2019,8
"WOJ. ŁÓDZKIE","M",19,90,2019,8
"WOJ. ŁÓDZKIE","M",20,35,2019,8
"WOJ. ŁÓDZKIE","M",21,20,2019,8
"WOJ. ŁÓDZKIE","M",22,17,2019,8
"WOJ. ŁÓDZKIE","M",23,14,2019,8
"WOJ. ŁÓDZKIE","M",24,10,2019,8
"WOJ. ŁÓDZKIE","M",25,13,2019,8
"WOJ. ŁÓDZKIE","M",26,7,2019,8
"WOJ. ŁÓDZKIE","M",27,7,2019,8
"WOJ. ŁÓDZKIE","M",28,4,2019,8
"WOJ. ŁÓDZKIE","M",29,3,2019,8
"WOJ. ŁÓDZKIE","M",30,8,2019,8
"WOJ. ŁÓDZKIE","M",31,4,2019,8
"WOJ. ŁÓDZKIE","M",32,6,2019,8
"WOJ. ŁÓDZKIE","M",33,7,2019,8
"WOJ. ŁÓDZKIE","M",34,6,2019,8
"WOJ. ŁÓDZKIE","M",35,4,2019,8
"WOJ. ŁÓDZKIE","M",36,5,2019,8
"WOJ. ŁÓDZKIE","M",37,4,2019,8
"WOJ. ŁÓDZKIE","M",38,3,2019,8
"WOJ. ŁÓDZKIE","M",39,4,2019,8
"WOJ. ŁÓDZKIE","M",40,7,2019,8
"WOJ. ŁÓDZKIE","M",41,4,2019,8
"WOJ. ŁÓDZKIE","M",42,3,2019,8
"WOJ. ŁÓDZKIE","M",43,2,2019,8
"WOJ. ŁÓDZKIE","M",44,3,2019,8
"WOJ. ŁÓDZKIE","M",45,3,2019,8
"WOJ. ŁÓDZKIE","M",47,2,2019,8
"WOJ. ŁÓDZKIE","M",48,2,2019,8
"WOJ. ŁÓDZKIE","M",50,1,2019,8
"WOJ. ŁÓDZKIE","M",55,1,2019,8
"WOJ. ŁÓDZKIE","M",65,1,2019,8
"WOJ. ŁÓDZKIE","M",66,1,2019,8
"WOJ. ŁÓDZKIE","M",79,1,2019,8
"WOJ. MAŁOPOLSKIE","K",14,7,2019,8
"WOJ. MAŁOPOLSKIE","K",15,5,2019,8
"WOJ. MAŁOPOLSKIE","K",16,2,2019,8
"WOJ. MAŁOPOLSKIE","K",17,5,2019,8
